name,district,party,role,region,twitter_id,twitter_name,marpor_affiliation,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per408.1,per408.2,per408.3,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace,PC1,PC2
Yasna Provoste Campillay,IV,DC,senator,Region de Atacama,2730306924,ProvosteYasna,Christian Democratic Party,0.256,0.0,0.0,0.0,0.455,0.171,0.057,1.279,0.085,0.0,0.0,0.057,0.8809999999999999,5.687,0.0,0.028,0.085,0.142,0.171,4.151,0.0,1.649,0.398,0.114,0.0,0.0,0.028,0.028,0.0,0.256,0.91,4.038,0.398,0.483,0.0,0.028,0.682,0.682,0.682,0.682,3.753,11.004,0.028,0.0,0.0,0.0,0.0,5.601,5.914,3.014,6.995,18.055,0.0,7.478,0.0,0.028,0.0,0.0,0.0,0.057,0.341,3.952,0.114,1.223,0.085,0.853,0.0,1.479,0.0,0.0,0.0,0.654,0.0,2.502,0.0,0.142,1.479,2.474,-29.713,4.464,0.256,25.05,0.227,-0.40600836064788187,0.7181574622287062
Rafael Prohens Espinosa,IV,RN,senator,Region de Atacama,807332644178509824,RafaelProhensE,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,-1.1681467427880536,0.8090764629889164
Adriana MuÃ±oz D'Albora,ex-IV,PPD,senator,Region de Coquimbo,392816498,_adrianamunoz,New Majority for Chile,0.246,0.0,0.031,0.0,0.338,0.431,0.092,0.861,0.6459999999999999,0.0,0.0,0.062,2.214,8.363999999999999,0.031,0.0,0.6459999999999999,0.0,0.431,4.336,0.0,2.276,0.523,0.123,0.062,0.0,0.062,0.092,0.154,0.215,0.461,6.396,0.338,0.338,0.0,0.0,1.23,1.23,1.23,1.23,1.907,16.359,0.0,0.0,0.0,0.0,0.0,3.536,4.551,4.52,4.613,12.7,0.092,1.937,0.0,0.031,0.0,0.031,0.0,0.031,0.308,4.428,0.123,0.892,0.338,1.845,0.277,1.568,0.0,0.0,0.031,2.737,0.0,1.599,0.0,0.123,1.199,3.044,-24.938,6.734,0.215,17.312,0.523,0.6497449544838233,0.48068840058421414
Jorge Pizarro Soto,ex-IV,DC,senator,Region de Coquimbo,277470477,pizarrosenador,Christian Democratic Party,0.256,0.0,0.0,0.0,0.455,0.171,0.057,1.279,0.085,0.0,0.0,0.057,0.8809999999999999,5.687,0.0,0.028,0.085,0.142,0.171,4.151,0.0,1.649,0.398,0.114,0.0,0.0,0.028,0.028,0.0,0.256,0.91,4.038,0.398,0.483,0.0,0.028,0.682,0.682,0.682,0.682,3.753,11.004,0.028,0.0,0.0,0.0,0.0,5.601,5.914,3.014,6.995,18.055,0.0,7.478,0.0,0.028,0.0,0.0,0.0,0.057,0.341,3.952,0.114,1.223,0.085,0.853,0.0,1.479,0.0,0.0,0.0,0.654,0.0,2.502,0.0,0.142,1.479,2.474,-29.713,4.464,0.256,25.05,0.227,-0.07530289396877653,1.1403409435574525
Francisco ChahuÃ¡n ChahuÃ¡n,VI,RN,senator,Region de Valparai­so,41381528,chahuan,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,0.3384451247322557,1.382350991092662
Kenneth Pugh OlavarrÃ­a,VI,RN,senator,Region de Valparai­so,903281780836503552,PughSenador,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,-1.1152435676756511,0.8859382630177652
Ricardo Lagos Weber,VI,PPD,senator,Region de Valparai­so,53594117,lagosweber,New Majority for Chile,0.246,0.0,0.031,0.0,0.338,0.431,0.092,0.861,0.6459999999999999,0.0,0.0,0.062,2.214,8.363999999999999,0.031,0.0,0.6459999999999999,0.0,0.431,4.336,0.0,2.276,0.523,0.123,0.062,0.0,0.062,0.092,0.154,0.215,0.461,6.396,0.338,0.338,0.0,0.0,1.23,1.23,1.23,1.23,1.907,16.359,0.0,0.0,0.0,0.0,0.0,3.536,4.551,4.52,4.613,12.7,0.092,1.937,0.0,0.031,0.0,0.031,0.0,0.031,0.308,4.428,0.123,0.892,0.338,1.845,0.277,1.568,0.0,0.0,0.031,2.737,0.0,1.599,0.0,0.123,1.199,3.044,-24.938,6.734,0.215,17.312,0.523,0.43191309238849085,1.7123272658605493
Isabel Allende Bussi,VI,PS,senator,Region de Valparai­so,58946189,iallendebussi,New Majority for Chile/Socialist Party of Chile,0.0,0.0,0.0,0.0,0.7120000000000001,0.5630000000000001,0.0,0.059,1.779,0.0,0.0,0.03,2.668,4.477,0.0,0.03,0.03,0.0,1.364,5.188,0.0,6.462999999999999,0.08900000000000001,2.372,0.0,0.03,0.0,0.0,0.0,0.119,1.749,6.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032,10.91,0.29600000000000004,0.119,0.919,0.0,0.0,1.393,0.059,7.086,9.102,8.627,0.0,6.937,0.0,0.0,0.0,0.0,0.474,0.03,0.267,2.846,0.0,0.652,0.0,0.03,0.0,3.439,0.0,0.0,0.0,3.617,0.326,2.194,0.0,0.0,0.0,2.579,-18.974,6.641,1.038,17.729,0.5630000000000001,-0.5747956766916814,1.1109470099626493
Juan Ignacio Latorre Riveros,VI,RD,senator,Region de Valparai­so,847488627303038976,LatorreJI,Broad Front,0.239,0.0,0.087,0.0,0.174,0.261,0.217,0.63,0.391,0.0,0.0,0.109,2.41,9.729,0.022,0.022,1.042,0.043,0.89,2.6060000000000003,0.0,0.8690000000000001,0.261,0.239,0.239,0.0,0.0,0.391,0.174,0.0,0.7170000000000001,3.8,0.456,0.304,0.0,0.043,0.586,0.586,0.586,0.586,0.5429999999999999,7.34,0.282,0.239,0.0,0.109,0.043,3.344,5.4289999999999985,3.04,7.144,19.783,0.043,5.82,0.0,0.043,0.0,0.087,0.195,0.0,0.326,2.193,1.064,1.585,0.586,1.889,0.043,1.564,0.0,0.0,0.0,5.797999999999999,0.022,0.5650000000000001,0.0,0.0,1.564,0.934,-39.175,4.539,0.0,26.927,0.478,1.6055484650812366,0.6484882214446644
Guido Girardi LavÃ­n,ex-VII,PPD,senator,Region Metropolitana de Santiago,16970297,guidogirardi,New Majority for Chile,0.246,0.0,0.031,0.0,0.338,0.431,0.092,0.861,0.6459999999999999,0.0,0.0,0.062,2.214,8.363999999999999,0.031,0.0,0.6459999999999999,0.0,0.431,4.336,0.0,2.276,0.523,0.123,0.062,0.0,0.062,0.092,0.154,0.215,0.461,6.396,0.338,0.338,0.0,0.0,1.23,1.23,1.23,1.23,1.907,16.359,0.0,0.0,0.0,0.0,0.0,3.536,4.551,4.52,4.613,12.7,0.092,1.937,0.0,0.031,0.0,0.031,0.0,0.031,0.308,4.428,0.123,0.892,0.338,1.845,0.277,1.568,0.0,0.0,0.031,2.737,0.0,1.599,0.0,0.123,1.199,3.044,-24.938,6.734,0.215,17.312,0.523,-0.18031608104294009,0.41536363148880445
